pdbid,t_prep_s
3rr4,0.06733584403991699
1s38,0.0804595947265625
1r5y,0.0733492374420166
3gc5,0.08201169967651367
3ge7,0.06230425834655762
4dli,0.06134223937988281
2zb1,0.03831601142883301
4f9w,0.045369863510131836
3e92,0.08857274055480957
3e93,0.07139825820922852
4owm,0.05183267593383789
3twp,0.052701711654663086
3r88,0.08436131477355957
4gkm,0.08639883995056152
3qqs,0.0698385238647461
3gv9,0.10833358764648438
3gr2,0.04443764686584473
4kz6,0.021290302276611328
4jxs,0.053704023361206055
2r9w,0.07477855682373047
2hb1,0.0367128849029541
1bzc,0.04014134407043457
2qbr,0.05753970146179199
2qbq,0.11420059204101562
2qbp,0.08712983131408691
1q8t,0.041634559631347656
1ydr,0.0414886474609375
1q8u,0.04172778129577637
1ydt,0.053925514221191406
3ag9,0.08851861953735352
3fcq,0.05223512649536133
1z9g,0.1659865379333496
1qf1,0.049642324447631836
5tmn,0.06494259834289551
4tmn,0.07438230514526367
4ddk,0.027610301971435547
4ddh,0.06032276153564453
3ivg,0.052571773529052734
3coz,0.1448819637298584
3coy,0.07897210121154785
3pxf,0.05679154396057129
4eor,0.03594803810119629
2xnb,0.051944732666015625
1pxn,0.06954121589660645
2fvd,0.062169551849365234
4k77,0.03519392013549805
4e5w,0.0874783992767334
4ivb,0.11311697959899902
4ivd,0.03567767143249512
4ivc,0.060883522033691406
4f09,0.03681302070617676
4gfm,0.034227609634399414
4hge,0.04295182228088379
4e6q,0.03312420845031738
4jia,0.06722140312194824
2brb,0.05920600891113281
2br1,0.03856945037841797
3jvr,0.028134584426879883
3jvs,0.030771493911743164
1nvq,0.054570674896240234
3acw,0.0590975284576416
4ea2,0.04546952247619629
2zcr,0.04908132553100586
2zy1,0.042195796966552734
2zcq,0.06259799003601074
1bcu,0.05395197868347168
3bv9,0.0706331729888916
1oyt,0.07763886451721191
2zda,0.06811380386352539
3utu,0.14831089973449707
3u9q,0.03765130043029785
2yfe,0.029666900634765625
3fur,0.05304408073425293
3b1m,0.10105490684509277
2p4y,0.12215542793273926
3uo4,0.11209750175476074
3up2,0.3312075138092041
3e5a,0.3091599941253662
2wtv,0.1269669532775879
3myg,0.36718058586120605
3kgp,0.29129576683044434
1c5z,0.4137763977050781
1o5b,0.051955223083496094
1owh,0.21804523468017578
1sqa,0.11612772941589355
4jsz,0.03832221031188965
3kwa,0.06649971008300781
2weg,0.13537931442260742
3ryj,0.03993964195251465
3dd0,0.044901132583618164
2xdl,0.03734159469604492
3b27,0.05578351020812988
1yc1,0.038991689682006836
3rlr,0.028735637664794922
2yki,0.09364771842956543
1z95,0.03845548629760742
3b68,0.03305697441101074
3b5r,0.055956125259399414
3b65,0.04823470115661621
3g0w,0.04824090003967285
4u4s,0.07934832572937012
1p1q,0.08482646942138672
1syi,0.06094050407409668
1p1n,0.07342290878295898
2al5,0.0561826229095459
3g2z,0.07234001159667969
3g31,0.03981471061706543
4de2,0.030997276306152344
4de3,0.033659934997558594
4de1,0.05593466758728027
1vso,0.0411839485168457
4dld,0.06372904777526855
3gbb,0.034413814544677734
3fv2,0.04700207710266113
3fv1,0.040241241455078125
4mgd,0.040367841720581055
2qe4,0.025625944137573242
1qkt,0.11950993537902832
2pog,0.03688359260559082
2p15,0.06193041801452637
2y5h,0.060563087463378906
1lpg,0.11251425743103027
2xbv,0.08088207244873047
1z6e,0.06951403617858887
1mq6,0.09755277633666992
1nc3,0.05652952194213867
1nc1,0.10157608985900879
1y6r,0.04174351692199707
4f2w,0.044507741928100586
4f3c,0.04438352584838867
1uto,0.0431826114654541
4abg,0.048888444900512695
3gy4,0.04370927810668945
1k1i,0.044687509536743164
1o3f,0.042154550552368164
2yge,0.04896998405456543
2fxs,0.0393671989440918
2iwx,0.032331228256225586
2wer,0.03728961944580078
2vw5,0.030771255493164062
4kzq,0.05761265754699707
4kzu,0.032169342041015625
4j21,0.034854888916015625
4j3l,0.059404611587524414
3kr8,0.031554222106933594
2ymd,0.13303256034851074
2wnc,0.07332062721252441
2xys,0.07947349548339844
2wn9,0.09163355827331543
2x00,0.1463625431060791
3ozt,0.06759095191955566
3ozs,0.034487247467041016
3oe5,0.06376433372497559
3oe4,0.05481553077697754
3nw9,0.07927846908569336
3ao4,0.04788041114807129
3zt2,0.03322458267211914
3zsx,0.05194664001464844
4cig,0.08049345016479492
3zso,0.08150601387023926
3n7a,0.10719847679138184
4ciw,0.09553050994873047
3n86,0.14626598358154297
3n76,0.10035181045532227
2xb8,0.12346768379211426
4bkt,0.03970170021057129
4w9c,0.06069803237915039
4w9l,0.0643777847290039
4w9i,0.08182191848754883
4w9h,0.11542797088623047
3nq9,0.08812856674194336
3ueu,0.08020472526550293
3uev,0.032700300216674805
3uew,0.04435324668884277
3uex,0.05269479751586914
3lka,0.1337740421295166
3ehy,0.025577306747436523
3tsk,0.05437612533569336
3nx7,0.033696651458740234
4gr0,0.0370025634765625
3dxg,0.06760334968566895
3d6q,0.04429912567138672
1w4o,0.18458795547485352
1o0h,0.02649378776550293
1u1b,0.04010128974914551
